web_server;compiler;waiting_time
0;74728;1082274
0;59497;1101238
0;61994;1098761
1;52536;1110731
0;64491;1103992
0;55258;1112743
2;76760;1092250
2;76978;1094258
0;67018;1103743
2;67231;1103757
0;57526;1112981
1;64738;1108008
2;70264;1105237
0;67522;1107736
0;50532;1124729
0;69775;1105740
1;53754;1124497
1;77741;1101253
0;47989;1132250
0;60010;1120501
470;61760;1122004
1;69002;1119998
232;53531;1136984
0;63257;1132746
2;48487;1147269
2;50964;1145022
1;63034;1132980
0;59744;1136745
1;93756;1103736
0;50761;1147498
1;49505;1149741
0;53751;1147511
0;60511;1144997
5;78491;1127733
0;74962;1137275
1;67971;1145005
1;63240;1152252
223;64252;1152503
0;66724;1152014
1;72731;1147252
0;53783;1165984
2;80238;1140272
2;65768;1157245
0;72747;1152265
1;71517;1155254
0;60745;1167756
1;67992;1160751
0;55271;1173731
0;72012;1157497
0;60755;1173228
0;67003;1169749
1;57745;1180502
1;63246;1176262
1;68019;1172986
3;67251;1174254
2;68504;1173248
1;55972;1186763
2;62991;1180270
1;73748;1172996
2;50520;1195252
2;55742;1195008
2;49498;1202000
1;64741;1187516
1;66231;1191767
1;63009;1194516
1;85297;1175721
0;67467;1193516
471;57262;1204251
2;53492;1209006
0;63524;1203741
4;80237;1190270
1;70006;1200243
1;53531;1216238
1;65759;1204739
0;54523;1216988
2;74268;1198250
1;71239;1203760
0;61532;1213740
1;58767;1217004
1;63014;1218006
1;62502;1218748
1;58991;1227980
1;65247;1221993
1;60525;1227726
2;44489;1246258
0;82265;1211985
1;60275;1233750
0;55780;1238727
0;81002;1214994
6;48758;1248506
2;52223;1246025
1;78033;1221985
2;75744;1226750
2;59712;1243279
1;76500;1231002
2;69752;1237740
1;73546;1236724
0;69719;1240778
1;64236;1246273
0;59265;1251747
1;61505;1250989
0;82242;1233739
0;57758;1257503
1;43238;1275486
1;71479;1248002
0;61734;1257515
0;55002;1264750
1;75997;1252257
0;56508;1271741
5;58246;1270252
1;62014;1267988
0;50992;1278758
0;72978;1263502
1;63997;1272001
0;61272;1274738
0;64999;1271251
1;74512;1263741
0;63740;1276500
0;52524;1287740
0;57789;1284484
1;52524;1292739
1;61750;1289747
1;54767;1296729
0;61763;1290001
1;73000;1281263
3;74739;1280008
0;57981;1296510
0;53274;1306000
1;73506;1287506
0;67252;1293994
1;66736;1297275
2;50485;1313760
0;57491;1307763
0;60494;1306022
1;61504;1305508
1;57744;1311009
2;85500;1284509
0;55960;1313772
471;83277;1288493
0;64973;1307523
1;51257;1320757
9;54519;1318750
1;53765;1323756
1;59770;1318001
4;55241;1330003
0;54985;1330270
1;70214;1315771
1;72502;1313750
1;60741;1326771
1;59980;1332996
1;66237;1330247
1;63985;1332757
2;60738;1338258
0;56481;1342766
1;56752;1343242
1;54522;1345989
1;61255;1339748
1;53514;1350247
1;54511;1352743
0;50482;1357002
0;58997;1348508
1;60262;1348492
0;59762;1351495
0;57243;1357245
0;66775;1347743
1;70512;1344245
1;75502;1339501
2;52020;1364996
1;74520;1345498
4;68989;1351261
2;55501;1364759
0;61998;1362752
1;62520;1364746
1;43491;1383986
3;50290;1378980
2;44018;1387729
1;45481;1387500
5;68746;1366990
1;64228;1372255
0;60769;1379235
0;59031;1380989
1;60506;1379988
5;56786;1388979
1;46732;1398520
0;60252;1387486
237;54740;1392777
1;55987;1393007
0;53002;1398247
0;77219;1375757
2;63253;1388992
1;73265;1380731
1;80739;1376239
2;52254;1403002
2;64753;1394734
0;68007;1391501
2;52256;1405746
1;67489;1393016
1;54994;1406014
1;68492;1398269
0;57489;1411514
2;58735;1410502
1;55995;1415747
3;65001;1408003
0;60487;1414013
2;63756;1418747
2;57256;1425249
1;57752;1424998
1;56018;1428998
2;54483;1432763
1;60270;1427002
2;63781;1426490
2;55003;1435491
4;79972;1414763
0;66007;1428256
0;52495;1441989
1;58493;1436011
1;54492;1440244
1;46006;1450004
2;66747;1431244
2;44790;1453229
0;61264;1438744
1;71270;1431487
2;70982;1432509
1;66768;1438986
1;66240;1446742
1;62768;1449981
1;61022;1453990
1;96514;1418986
2;51246;1464006
0;48763;1466731
1;44997;1472234
2;45265;1472223
2;70260;1455495
1;55248;1471746
1;51008;1476249
1;44475;1483271
1;64504;1466755
1;62508;1468986
0;67522;1463992
1;55235;1480016
